"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","active_case_count","large_case_count","cohort","exit_code"
"measured","72","1072","1","nlohmann-2.0.0","2026-09-03T13:38:29.3453923Z","2026-09-03T13:38:30.7412135Z","1395.821","42807296","13","0","standard-only","0"
"measured","72","1072","2","rapidjson-1.9.5","2026-09-03T13:38:31.7384826Z","2026-09-03T13:38:33.0068217Z","1268.339","42405888","13","0","standard-only","0"
"measured","73","1073","1","rapidjson-1.9.5","2026-09-03T13:38:34.1069890Z","2026-09-03T13:38:35.3647769Z","1257.788","42500096","13","0","standard-only","0"
"measured","73","1073","2","nlohmann-2.0.0","2026-09-03T13:38:35.9837639Z","2026-09-03T13:38:37.3951191Z","1411.355","42921984","13","0","standard-only","0"
"measured","74","1074","1","nlohmann-2.0.0","2026-09-03T13:38:38.2928128Z","2026-09-03T13:38:39.6942520Z","1401.439","42745856","13","0","standard-only","0"
"measured","74","1074","2","rapidjson-1.9.5","2026-09-03T13:38:40.6149462Z","2026-09-03T13:38:41.9121963Z","1297.25","42442752","13","0","standard-only","0"
"measured","75","1075","1","rapidjson-1.9.5","2026-09-03T13:38:43.0212505Z","2026-09-03T13:38:44.2779408Z","1256.69","42487808","13","0","standard-only","0"
"measured","75","1075","2","nlohmann-2.0.0","2026-09-03T13:38:44.8113829Z","2026-09-03T13:38:46.2350801Z","1423.697","42790912","13","0","standard-only","0"
"measured","76","1076","1","nlohmann-2.0.0","2026-09-03T13:38:46.7567846Z","2026-09-03T13:38:48.1758520Z","1419.067","40443904","13","0","standard-only","0"
"measured","76","1076","2","rapidjson-1.9.5","2026-09-03T13:38:48.9420053Z","2026-09-03T13:38:50.1900198Z","1248.014","40071168","13","0","standard-only","0"
